Date,State_Code,Sex,Race,Hispanic,Age_Group,Disability_Status,Education_Group,Veteran_Status,Employment_Status,Labor_Force_Status,Number_of_Persons
2023-07-01,1,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,13557.0
2023-07-01,1,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,12429.0
2023-07-01,1,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,4966.0
2023-07-01,1,Female,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,7866.0
2023-07-01,1,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,2188.0
2023-07-01,1,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,2589.0
2023-07-01,1,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,7290.0
2023-07-01,1,Male,Asian,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,2270.0
2023-07-01,1,Male,Black or African American,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,3676.0
2023-07-01,1,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,11584.0
2023-07-01,1,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,8191.0
2023-07-01,1,Male,Two or More Races,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,3215.0
2023-07-01,1,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,15650.0
2023-07-01,1,Male,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,4706.0
2023-07-01,1,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,6286.0
2023-07-01,1,Female,Asian,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1938.0
2023-07-01,1,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3714.0
2023-07-01,1,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2960.0
2023-07-01,1,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,4434.0
2023-07-01,1,Female,Two or More Races,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,3911.0
2023-07-01,1,Female,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,5873.0
2023-07-01,1,Female,White,Non-Hispanic,0-20,Disabled,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2352.0
2023-07-01,1,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,13948.0
2023-07-01,1,Female,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,8480.0
2023-07-01,1,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,13548.0
2023-07-01,1,Male,White,Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2654.0
2023-07-01,1,Male,White,Non-Hispanic,0-20,Disabled,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2205.0
2023-07-01,1,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,13891.0
2023-07-01,1,Male,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Not in labor force,Not In Civilian Labor Force,7499.0
2023-07-01,1,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,28585.0
2023-07-01,1,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Unemployed,In Civilian Labor Force,3431.0
2023-07-01,1,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,2342.0
2023-07-01,1,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Unemployed,In Civilian Labor Force,2544.0
2023-07-01,10,Female,Asian,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,1593.0
2023-07-01,10,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,4743.0
2023-07-01,10,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,1139.0
2023-07-01,10,Female,White,Non-Hispanic,0-20,Disabled,High School,Non-Veteran,Employed,In Civilian Labor Force,757.0
2023-07-01,10,Female,White,Non-Hispanic,0-20,Disabled,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,1074.0
2023-07-01,10,Female,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,5328.0
2023-07-01,10,Female,White,Non-Hispanic,0-20,No Disability,Less than Bachelors,Non-Veteran,Employed,In Civilian Labor Force,834.0
2023-07-01,10,Male,Black or African American,Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,1173.0
2023-07-01,10,Male,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,6786.0
2023-07-01,10,Male,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,2068.0
2023-07-01,10,Male,White,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Employed,In Civilian Labor Force,3378.0
2023-07-01,10,Male,White,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Employed,In Civilian Labor Force,2493.0
2023-07-01,10,Female,Black or African American,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1678.0
2023-07-01,10,Female,Black or African American,Non-Hispanic,0-20,No Disability,High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2547.0
2023-07-01,10,Female,Black or African American,Non-Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,2802.0
2023-07-01,10,Female,White,Hispanic,0-20,No Disability,Less than High School,Non-Veteran,Not in labor force,Not In Civilian Labor Force,1884.0
