Location,FIPS,Region,Pay_Region,Year,state_code,county_code
State of Alaska,02000,Alaska,Alaska,2018,02,000
"Albany County, NY",36001,New York,"Albany-Schenectady, NY",2018,36,001
"Albany County, NY",36001,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,001
"Columbia County, NY",36021,New York,"Albany-Schenectady, NY",2018,36,021
"Columbia County, NY",36021,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,021
"Fulton County, NY",36035,New York,"Albany-Schenectady, NY",2018,36,035
"Fulton County, NY",36035,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,035
"Montgomery County, NY",36057,New York,"Albany-Schenectady, NY",2018,36,057
"Montgomery County, NY",36057,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,057
"Rensselaer County, NY",36083,New York,"Albany-Schenectady, NY",2018,36,083
"Rensselaer County, NY",36083,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,083
"Saratoga County, NY",36091,New York,"Albany-Schenectady, NY",2018,36,091
"Saratoga County, NY",36091,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,091
"Schenectady County, NY",36093,New York,"Albany-Schenectady, NY",2018,36,093
"Schenectady County, NY",36093,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,093
"Schoharie County, NY",36095,New York,"Albany-Schenectady, NY",2018,36,095
"Schoharie County, NY",36095,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,095
"Warren County, NY",36113,New York,"Albany-Schenectady, NY",2018,36,113
"Warren County, NY",36113,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,113
"Washington County, NY",36115,New York,"Albany-Schenectady, NY",2018,36,115
"Washington County, NY",36115,New York,"New York-Newark, NY-NJ-CT-PA",2018,36,115
"Berkshire County, MA",25003,Massachusetts,"Albany-Schenectady, NY",2018,25,003
"Berkshire County, MA",25003,Massachusetts,"Boston-Worcester-Providence, MA-RI-NH-CT-ME",2018,25,003
"Berkshire County, MA",25003,Massachusetts,"Hartford-West Hartford, CT-MA",2018,25,003
"Bernalillo County, NM",35001,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,001
"Cibola County, NM",35006,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,006
"Los Alamos County, NM",35028,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,028
"Rio Arriba County, NM",35039,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,039
"San Miguel County, NM",35047,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,047
"Sandoval County, NM",35043,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,043
"Santa Fe County, NM",35049,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,049
"Torrance County, NM",35057,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,057
"Valencia County, NM",35061,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM",2018,35,061
"Barrow County, GA",13013,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,013
"Bartow County, GA",13015,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,015
"Butts County, GA",13035,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,035
"Carroll County, GA",13045,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,045
"Cherokee County, GA",13057,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,057
"Clarke County, GA",13059,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,059
"Clayton County, GA",13063,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,063
"Cobb County, GA",13067,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,067
"Coweta County, GA",13077,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,077
"Dawson County, GA",13085,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,085
"DeKalb County, GA",13089,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,089
"Douglas County, GA",13097,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,097
"Fayette County, GA",13113,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,113
"Forsyth County, GA",13117,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,117
"Fulton County, GA",13121,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,121
"Gordon County, GA",13129,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,129
"Gwinnett County, GA",13135,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,135
"Hall County, GA",13139,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,139
"Haralson County, GA",13143,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,143
"Heard County, GA",13149,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,149
"Henry County, GA",13151,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,151
"Jackson County, GA",13157,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,157
"Jasper County, GA",13159,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,159
"Lamar County, GA",13171,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,171
"Madison County, GA",13195,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,195
"Meriwether County, GA",13199,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,199
"Morgan County, GA",13211,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,211
"Newton County, GA",13217,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,217
"Oconee County, GA",13219,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,219
"Oglethorpe County, GA",13221,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,221
"Paulding County, GA",13223,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,223
"Pickens County, GA",13227,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,227
"Pike County, GA",13231,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,231
"Polk County, GA",13233,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,233
"Rockdale County, GA",13247,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,247
"Spalding County, GA",13255,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,255
"Troup County, GA",13285,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,285
"Upson County, GA",13293,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,293
"Walton County, GA",13297,Georgia,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,13,297
"Chambers County, AL",01017,Alabama,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",2018,01,017
"Bastrop County, TX",48021,"Austin-Round Rock, TX","Austin-Round Rock, TX",2018,48,021
"Caldwell County, TX",48055,"Austin-Round Rock, TX","Austin-Round Rock, TX",2018,48,055
