Grade,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,WGI,location,pay_type,year,B/O
1,18785,19414,20039,20660,21285,21650,22267,22891,22915,23502,VARIES,2018 General Schedule (Base),Salary,2018,
2,21121,21624,22323,22915,23175,23857,24539,25221,25903,26585,VARIES,2018 General Schedule (Base),Salary,2018,
3,23045,23813,24581,25349,26117,26885,27653,28421,29189,29957,768,2018 General Schedule (Base),Salary,2018,
4,25871,26733,27595,28457,29319,30181,31043,31905,32767,33629,862,2018 General Schedule (Base),Salary,2018,
5,28945,29910,30875,31840,32805,33770,34735,35700,36665,37630,965,2018 General Schedule (Base),Salary,2018,
6,32264,33339,34414,35489,36564,37639,38714,39789,40864,41939,1075,2018 General Schedule (Base),Salary,2018,
7,35854,37049,38244,39439,40634,41829,43024,44219,45414,46609,1195,2018 General Schedule (Base),Salary,2018,
8,39707,41031,42355,43679,45003,46327,47651,48975,50299,51623,1324,2018 General Schedule (Base),Salary,2018,
9,43857,45319,46781,48243,49705,51167,52629,54091,55553,57015,1462,2018 General Schedule (Base),Salary,2018,
10,48297,49907,51517,53127,54737,56347,57957,59567,61177,62787,1610,2018 General Schedule (Base),Salary,2018,
11,53062,54831,56600,58369,60138,61907,63676,65445,67214,68983,1769,2018 General Schedule (Base),Salary,2018,
12,63600,65720,67840,69960,72080,74200,76320,78440,80560,82680,2120,2018 General Schedule (Base),Salary,2018,
13,75628,78149,80670,83191,85712,88233,90754,93275,95796,98317,2521,2018 General Schedule (Base),Salary,2018,
14,89370,92349,95328,98307,101286,104265,107244,110223,113202,116181,2979,2018 General Schedule (Base),Salary,2018,
15,105123,108627,112131,115635,119139,122643,126147,129651,133155,136659,3504,2018 General Schedule (Base),Salary,2018,
1,90,93,96,99,102,1037,1067,1097,1098,1126,,2018 General Schedule (Base),Hourly,2018,B
1,135,1395,144,1485,153,1556,1601,1646,1647,1689,,2018 General Schedule (Base),Hourly,2018,O
2,1012,1036,107,1098,111,1143,1176,1208,1241,1274,,2018 General Schedule (Base),Hourly,2018,B
2,1518,1554,1605,1647,1665,1715,1764,1812,1862,1911,,2018 General Schedule (Base),Hourly,2018,O
3,1104,1141,1178,1215,1251,1288,1325,1362,1399,1435,,2018 General Schedule (Base),Hourly,2018,B
3,1656,1712,1767,1823,1877,1932,1988,2043,2099,2153,,2018 General Schedule (Base),Hourly,2018,O
4,124,1281,1322,1364,1405,1446,1487,1529,157,1611,,2018 General Schedule (Base),Hourly,2018,B
4,186,1922,1983,2046,2108,2169,2231,2294,2355,2417,,2018 General Schedule (Base),Hourly,2018,O
5,1387,1433,1479,1526,1572,1618,1664,1711,1757,1803,,2018 General Schedule (Base),Hourly,2018,B
5,2081,215,2219,2289,2358,2427,2496,2567,2636,2705,,2018 General Schedule (Base),Hourly,2018,O
6,1546,1597,1649,170,1752,1803,1855,1907,1958,201,,2018 General Schedule (Base),Hourly,2018,B
6,2319,2396,2474,255,2628,2705,2783,2861,2937,3015,,2018 General Schedule (Base),Hourly,2018,O
7,1718,1775,1832,189,1947,2004,2062,2119,2176,2233,,2018 General Schedule (Base),Hourly,2018,B
7,2577,2663,2748,2835,2921,3006,3093,3179,3264,335,,2018 General Schedule (Base),Hourly,2018,O
8,1903,1966,2029,2093,2156,222,2283,2347,241,2474,,2018 General Schedule (Base),Hourly,2018,B
8,2855,2949,3044,314,3234,333,3425,3471,3471,3471,,2018 General Schedule (Base),Hourly,2018,O
9,2101,2171,2242,2312,2382,2452,2522,2592,2662,2732,,2018 General Schedule (Base),Hourly,2018,B
9,3152,3257,3363,3468,3471,3471,3471,3471,3471,3471,,2018 General Schedule (Base),Hourly,2018,O
10,2314,2391,2468,2546,2623,270,2777,2854,2931,3008,,2018 General Schedule (Base),Hourly,2018,B
10,3471,3471,3471,3471,3471,3471,3471,3471,3471,3471,,2018 General Schedule (Base),Hourly,2018,O
11,2543,2627,2712,2797,2882,2966,3051,3136,3221,3305,,2018 General Schedule (Base),Hourly,2018,B
11,3471,3471,3471,3471,3471,3471,3471,3471,3471,3471,,2018 General Schedule (Base),Hourly,2018,O
12,3047,3149,3251,3352,3454,3555,3657,3759,386,3962,,2018 General Schedule (Base),Hourly,2018,B
12,3471,3471,3471,3471,3471,3555,3657,3759,386,3962,,2018 General Schedule (Base),Hourly,2018,O
13,3624,3745,3865,3986,4107,4228,4349,4469,459,4711,,2018 General Schedule (Base),Hourly,2018,B
13,3624,3745,3865,3986,4107,4228,4349,4469,459,4711,,2018 General Schedule (Base),Hourly,2018,O
14,4282,4425,4568,471,4853,4996,5139,5281,5424,5567,,2018 General Schedule (Base),Hourly,2018,B
14,4282,4425,4568,471,4853,4996,5139,5281,5424,5567,,2018 General Schedule (Base),Hourly,2018,O
15,5037,5205,5373,5541,5709,5877,6044,6212,638,6548,,2018 General Schedule (Base),Hourly,2018,B
15,5037,5205,5373,5541,5709,5877,6044,6212,638,6548,,2018 General Schedule (Base),Hourly,2018,O
1,21885,22617,23345,24069,24797,25222,25941,26668,26696,27380,,"ALBANY-SCHENECTADY, NY",Salary,2018,
2,24606,25192,26006,26696,26999,27793,28588,29382,30177,30972,,"ALBANY-SCHENECTADY, NY",Salary,2018,
3,26847,27742,28637,29532,30426,31321,32216,33110,34005,34900,,"ALBANY-SCHENECTADY, NY",Salary,2018,
4,30140,31144,32148,33152,34157,35161,36165,37169,38174,39178,,"ALBANY-SCHENECTADY, NY",Salary,2018,
5,33721,34845,35969,37094,38218,39342,40466,41591,42715,43839,,"ALBANY-SCHENECTADY, NY",Salary,2018,
6,37588,38840,40092,41345,42597,43849,45102,46354,47607,48859,,"ALBANY-SCHENECTADY, NY",Salary,2018,
7,41770,43162,44554,45946,47339,48731,50123,51515,52907,54299,,"ALBANY-SCHENECTADY, NY",Salary,2018,
8,46259,47801,49344,50886,52428,53971,55513,57056,58598,60141,,"ALBANY-SCHENECTADY, NY",Salary,2018,
9,51093,52797,54500,56203,57906,59610,61313,63016,64719,66422,,"ALBANY-SCHENECTADY, NY",Salary,2018,
10,56266,58142,60017,61893,63769,65644,67520,69396,71271,73147,,"ALBANY-SCHENECTADY, NY",Salary,2018,
11,61817,63878,65939,68000,70061,72122,74183,76243,78304,80365,,"ALBANY-SCHENECTADY, NY",Salary,2018,
12,74094,76564,79034,81503,83973,86443,88913,91383,93852,96322,,"ALBANY-SCHENECTADY, NY",Salary,2018,
13,88107,91044,93981,96918,99854,102791,105728,108665,111602,114539,,"ALBANY-SCHENECTADY, NY",Salary,2018,
14,104116,107587,111057,114528,117998,121469,124939,128410,131880,135351,,"ALBANY-SCHENECTADY, NY",Salary,2018,
15,122468,126550,130633,134715,138797,142879,146961,151043,155126,159208,,"ALBANY-SCHENECTADY, NY",Salary,2018,
1,1049,1084,1119,1153,1188,1209,1243,1278,1279,1312,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
1,1574,1626,1679,173,1782,1814,1865,1917,1919,1968,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
2,1179,1207,1246,1279,1294,1332,137,1408,1446,1484,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
2,1769,1811,1869,1919,1941,1998,2055,2112,2169,2226,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
3,1286,1329,1372,1415,1458,1501,1544,1586,1629,1672,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
3,1929,1994,2058,2123,2187,2252,2316,2379,2444,2508,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
4,1444,1492,154,1589,1637,1685,1733,1781,1829,1877,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
4,2166,2238,231,2384,2456,2528,260,2672,2744,2816,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
5,1616,167,1723,1777,1831,1885,1939,1993,2047,2101,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
5,2424,2505,2585,2666,2747,2828,2909,299,3071,3152,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
6,1801,1861,1921,1981,2041,2101,2161,2221,2281,2341,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
6,2702,2792,2882,2972,3062,3152,3242,3332,3422,3512,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
7,2001,2068,2135,2202,2268,2335,2402,2468,2535,2602,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
7,3002,3102,3203,3303,3402,3503,3603,3702,3803,3903,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
8,2217,229,2364,2438,2512,2586,266,2734,2808,2882,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
8,3326,3435,3546,3657,3768,3879,399,4044,4044,4044,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
9,2448,253,2611,2693,2775,2856,2938,3019,3101,3183,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
9,3672,3795,3917,404,4044,4044,4044,4044,4044,4044,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
10,2696,2786,2876,2966,3056,3145,3235,3325,3415,3505,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
10,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
11,2962,3061,316,3258,3357,3456,3555,3653,3752,3851,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
11,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
12,355,3669,3787,3905,4024,4142,426,4379,4497,4615,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
12,4044,4044,4044,4044,4044,4142,426,4379,4497,4615,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
13,4222,4362,4503,4644,4785,4925,5066,5207,5347,5488,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
